,Session,Region,C
0,737581020,VISp,"[array([ 3,  5,  0,  2,  0,  7,  0,  1,  0,  0, 18,  3,  2,  0,  1, 23])]"
1,739448407,VISp,"[array([ 1,  2,  0,  4,  5,  1,  0,  3,  1,  0, 21,  3,  2,  0,  2, 20])]"
2,744228101,VISp,"[array([ 5,  1,  0,  2,  1,  1,  0,  6,  0,  0, 15,  8,  0,  0,  9, 17])]"
3,746083955,VISp,"[array([ 3,  0,  3,  3,  0,  7,  0,  1,  0,  0, 19,  4,  0,  0,  5, 20])]"
4,750749662,VISp,"[array([ 1,  1,  0,  3,  1,  4,  0,  2,  0,  0, 24,  8,  1,  0,  2, 18])]"
5,751348571,VISp,"[array([ 0,  0,  0,  6,  2,  0,  1,  7,  0,  0, 20,  5,  0,  0,  4, 20])]"
6,754829445,VISp,"[array([ 3,  1,  0,  3,  5,  2,  1,  1,  1,  1, 19,  5,  1,  0,  6, 16])]"
7,755434585,VISp,"[array([ 0,  0,  0, 10,  0,  0,  0, 11,  0,  0, 21,  4,  0,  0,  1, 18])]"
8,756029989,VISp,"[array([ 6,  2,  0,  1,  0,  4,  0,  3,  0,  0, 18,  6,  0,  0, 14, 11])]"
9,757216464,VISp,"[array([ 0,  0,  0,  8,  0,  1,  0,  6,  0,  0, 13,  7,  0,  1, 11, 18])]"
10,758798717,VISp,"[array([ 4,  0,  0,  2,  1,  3,  0,  2,  0,  0, 29,  0,  2,  0,  0, 22])]"
11,759883607,VISp,"[array([ 3,  3,  0,  1,  2,  4,  0,  0,  0,  0, 22,  5,  0,  0,  1, 24])]"
12,760345702,VISp,"[array([ 5,  0,  0,  1,  2,  4,  0,  0,  0,  0, 21,  3,  0,  0,  4, 25])]"
13,760693773,VISp,"[array([ 1,  4,  0,  3,  1,  4,  0,  2,  0,  0, 25,  1,  0,  2,  1, 21])]"
14,761418226,VISp,"[array([ 4,  0,  0,  4,  1,  0,  0,  5,  0,  0, 20,  0,  0,  0,  1, 30])]"
15,762120172,VISp,"[array([ 2,  3,  0,  3,  5,  3,  0,  1,  0,  0, 23,  4,  0,  0,  0, 21])]"
16,762602078,VISp,"[array([ 7,  0,  0,  0,  0,  7,  0,  0,  0,  0, 21,  1,  0,  0,  9, 20])]"
17,773418906,VISp,"[array([ 0,  4,  0,  6,  0,  1,  0,  5,  0,  0, 19,  3,  1,  0,  1, 25])]"
