,Session,Region,C
0,737581020,CA,"[array([2, 4, 6, 3])]"
1,739448407,CA,"[array([5, 2, 3, 5])]"
2,744228101,CA,"[array([4, 4, 4, 3])]"
3,746083955,CA,"[array([4, 1, 4, 6])]"
4,750749662,CA,"[array([3, 3, 4, 5])]"
5,751348571,CA,"[array([2, 7, 2, 4])]"
6,754829445,CA,"[array([2, 3, 6, 4])]"
7,755434585,CA,"[array([5, 2, 4, 4])]"
8,756029989,CA,"[array([3, 5, 2, 5])]"
9,757216464,CA,"[array([2, 8, 2, 3])]"
10,758798717,CA,"[array([6, 2, 4, 3])]"
11,759883607,CA,"[array([3, 4, 5, 3])]"
12,760345702,CA,"[array([0, 9, 0, 6])]"
13,760693773,CA,"[array([3, 4, 1, 7])]"
14,761418226,CA,"[array([5, 2, 6, 2])]"
15,762120172,CA,"[array([4, 2, 5, 4])]"
16,762602078,CA,"[array([5, 2, 6, 2])]"
17,773418906,CA,"[array([6, 1, 6, 2])]"
