,Session,Region,C
0,737581020,VISp,"[array([8, 0, 0, 7])]"
1,739448407,VISp,"[array([5, 0, 3, 7])]"
2,744228101,VISp,"[array([6, 2, 1, 6])]"
3,746083955,VISp,"[array([6, 1, 3, 5])]"
4,750749662,VISp,"[array([7, 2, 0, 6])]"
5,751348571,VISp,"[array([8, 1, 1, 5])]"
6,754829445,VISp,"[array([7, 0, 0, 8])]"
7,755434585,VISp,"[array([8, 0, 1, 6])]"
8,756029989,VISp,"[array([9, 0, 0, 6])]"
9,757216464,VISp,"[array([7, 0, 4, 4])]"
10,758798717,VISp,"[array([9, 0, 0, 6])]"
11,759883607,VISp,"[array([5, 3, 3, 4])]"
12,760345702,VISp,"[array([5, 0, 3, 7])]"
13,760693773,VISp,"[array([5, 2, 3, 5])]"
14,761418226,VISp,"[array([5, 2, 0, 8])]"
15,762120172,VISp,"[array([7, 1, 1, 6])]"
16,762602078,VISp,"[array([8, 0, 0, 7])]"
17,773418906,VISp,"[array([6, 2, 4, 3])]"
