,cell_specimen_id,tld1_name,imaging_depth,pref_ori_sg,pref_sf_sg,g_osi_sg,responsive_sg,depth_range,pref_phase_sg
97,570929357,Emx1-IRES-Cre,175.0,0.0,0.02,0.609552422563,False,100.0,0.5
98,570926795,Emx1-IRES-Cre,175.0,0.0,0.02,0.340461116012,False,100.0,0.5
100,570929372,Emx1-IRES-Cre,175.0,60.0,0.02,0.741697697214,True,100.0,0.25
102,570929001,Emx1-IRES-Cre,175.0,150.0,0.02,0.554751218147,False,100.0,0.5
103,570928996,Emx1-IRES-Cre,175.0,30.0,0.02,0.742498698322,True,100.0,0.0
105,589227955,Emx1-IRES-Cre,175.0,0.0,0.04,0.51255121173,False,100.0,0.0
106,570928991,Emx1-IRES-Cre,175.0,90.0,0.08,0.819554748028,True,100.0,0.75
107,589227939,Emx1-IRES-Cre,175.0,30.0,0.02,0.682349884309,False,100.0,0.5
108,570929252,Emx1-IRES-Cre,175.0,0.0,0.04,0.944590155803,True,100.0,0.5
111,570928241,Emx1-IRES-Cre,175.0,0.0,0.08,0.587365558044,False,100.0,0.75
112,570928637,Emx1-IRES-Cre,175.0,60.0,0.02,0.751021453281,False,100.0,0.5
113,570929271,Emx1-IRES-Cre,175.0,30.0,0.08,0.689413481285,True,100.0,0.75
115,570928625,Emx1-IRES-Cre,175.0,60.0,0.08,0.900491144976,False,100.0,0.25
116,570928622,Emx1-IRES-Cre,175.0,60.0,0.02,0.954704297332,False,100.0,0.25
118,570928620,Emx1-IRES-Cre,175.0,30.0,0.02,0.358446457933,False,100.0,0.25
119,570929502,Emx1-IRES-Cre,175.0,0.0,0.02,0.713586414488,False,100.0,0.25
121,570927506,Emx1-IRES-Cre,175.0,120.0,0.02,0.525435061367,True,100.0,0.0
122,570927530,Emx1-IRES-Cre,175.0,60.0,0.04,0.784330182326,True,100.0,0.75
123,570927513,Emx1-IRES-Cre,175.0,30.0,0.32,0.889634665445,False,100.0,0.0
124,570927519,Emx1-IRES-Cre,175.0,30.0,0.04,0.476154965644,False,100.0,0.0
125,570927525,Emx1-IRES-Cre,175.0,60.0,0.32,0.3366185103,False,100.0,0.75
127,570928933,Emx1-IRES-Cre,175.0,90.0,0.08,0.698225910052,True,100.0,0.0
128,570928664,Emx1-IRES-Cre,175.0,90.0,0.02,0.803038657614,True,100.0,0.25
130,570928654,Emx1-IRES-Cre,175.0,150.0,0.02,0.702884007212,False,100.0,0.75
132,570928679,Emx1-IRES-Cre,175.0,0.0,0.16,0.736983489524,False,100.0,0.75
133,570929319,Emx1-IRES-Cre,175.0,120.0,0.32,0.528525684768,False,100.0,0.0
134,570929487,Emx1-IRES-Cre,175.0,90.0,0.02,0.859227551021,False,100.0,0.25
135,589228425,Emx1-IRES-Cre,175.0,60.0,0.02,0.899980351424,True,100.0,0.75
140,570929495,Emx1-IRES-Cre,175.0,90.0,0.02,0.742070822305,True,100.0,0.0
141,570927746,Emx1-IRES-Cre,175.0,90.0,0.04,0.668126262134,True,100.0,0.5
142,570927732,Emx1-IRES-Cre,175.0,90.0,0.04,0.90679744462,True,100.0,0.25
144,570927794,Emx1-IRES-Cre,175.0,30.0,0.02,0.508556990563,False,100.0,0.5
145,570926842,Emx1-IRES-Cre,175.0,60.0,0.08,0.587065624722,True,100.0,0.5
146,570927752,Emx1-IRES-Cre,175.0,60.0,0.08,0.919862359964,False,100.0,0.5
148,570928691,Emx1-IRES-Cre,175.0,0.0,0.32,0.130885025098,True,100.0,0.25
149,570929334,Emx1-IRES-Cre,175.0,0.0,0.04,0.624356978981,False,100.0,0.0
151,570929314,Emx1-IRES-Cre,175.0,0.0,0.04,0.747790418778,True,100.0,0.25
152,570929311,Emx1-IRES-Cre,175.0,0.0,0.16,0.332001494085,False,100.0,0.25
153,570929330,Emx1-IRES-Cre,175.0,0.0,0.02,0.877077324838,False,100.0,0.5
154,570929326,Emx1-IRES-Cre,175.0,30.0,0.08,0.827640769387,True,100.0,0.0
156,570929377,Emx1-IRES-Cre,175.0,0.0,0.04,0.4186919545,False,100.0,0.0
158,570927304,Emx1-IRES-Cre,175.0,0.0,0.16,0.422309841779,True,100.0,0.75
159,570927315,Emx1-IRES-Cre,175.0,150.0,0.04,0.935868346081,True,100.0,0.25
160,570927307,Emx1-IRES-Cre,175.0,120.0,0.32,0.565264665101,True,100.0,0.75
162,570927330,Emx1-IRES-Cre,175.0,30.0,0.32,0.469480959339,False,100.0,0.0
163,570927323,Emx1-IRES-Cre,175.0,0.0,0.02,0.570787748655,False,100.0,0.25
164,570928202,Emx1-IRES-Cre,175.0,0.0,0.08,0.972936362687,False,100.0,0.75
165,570928211,Emx1-IRES-Cre,175.0,60.0,0.32,0.0824731245338,True,100.0,0.0
