,cell_specimen_id,tld1_name,imaging_depth,pref_dir_dg,pref_tf_dg,g_osi_dg,responsive_dg,depth_range
0,570928778,Emx1-IRES-Cre,175.0,315.0,1.0,0.17796058928,False,100.0
1,570928986,Emx1-IRES-Cre,175.0,0.0,1.0,0.45487774136,True,100.0
2,570929244,Emx1-IRES-Cre,175.0,135.0,8.0,0.18723381637,True,100.0
3,570929249,Emx1-IRES-Cre,175.0,180.0,1.0,0.509326756401,True,100.0
4,570928981,Emx1-IRES-Cre,175.0,225.0,1.0,0.651744133488,True,100.0
5,570929236,Emx1-IRES-Cre,175.0,135.0,8.0,0.468735268097,False,100.0
6,570929432,Emx1-IRES-Cre,175.0,180.0,1.0,0.476474612778,False,100.0
7,570928966,Emx1-IRES-Cre,175.0,225.0,8.0,0.601738531808,True,100.0
8,570928961,Emx1-IRES-Cre,175.0,225.0,15.0,0.34906679208,False,100.0
9,570928274,Emx1-IRES-Cre,175.0,315.0,8.0,0.489060780313,True,100.0
10,570929460,Emx1-IRES-Cre,175.0,45.0,2.0,0.581775398603,True,100.0
11,570929221,Emx1-IRES-Cre,175.0,315.0,8.0,0.199460101487,False,100.0
12,570928269,Emx1-IRES-Cre,175.0,315.0,15.0,0.35325581594,True,100.0
13,570927026,Emx1-IRES-Cre,175.0,135.0,4.0,0.288603094297,True,100.0
14,589228232,Emx1-IRES-Cre,175.0,0.0,8.0,0.430138120812,False,100.0
15,589228211,Emx1-IRES-Cre,175.0,270.0,8.0,0.331938890583,False,100.0
16,589228173,Emx1-IRES-Cre,175.0,0.0,1.0,0.350322815187,True,100.0
17,589228187,Emx1-IRES-Cre,175.0,135.0,2.0,0.184999109644,True,100.0
18,570929497,Emx1-IRES-Cre,175.0,0.0,1.0,0.404880873928,True,100.0
19,570929500,Emx1-IRES-Cre,175.0,45.0,1.0,0.575347306118,False,100.0
20,570926818,Emx1-IRES-Cre,175.0,225.0,1.0,0.411983505794,True,100.0
